species;sample;total_germinated;focal_species;forbs;graminoids;legumes;non_focal_invasives;non_focal_invSpecies;brutto_weight;netto_weight;weight of sieve;tot_germ_rate;fsp_germ_rate;nonfsp_germ_rate;Observations
erigeron;E 1.2;165;95;66;3;1;;;1028.7;614.6;414.1;0.268467296;0.154572079;0;
erigeron;E 1.3;30;2;20;6;1;1;Solidago canadensis;797.1;383;414.1;0.078328982;0.005221932;0.002610966;w fungal growth
erigeron;E 2.1;12;4;5;;3;;;681.2;267.1;414.1;0.044926994;0.014975665;0;
erigeron;E 2.2;37;16;15;4;1;1;Solidago canadensis;813.2;399.1;414.1;0.092708594;0.040090203;0.002505638;
erigeron;E 2.3;50;12;37;1;;;;839.2;425.1;414.1;0.117619384;0.028228652;0;
erigeron;E 2.4;42;22;17;1;1;1;Solidago canadensis;975.3;561.2;414.1;0.074839629;0.039201711;0.001781896;
erigeron;E 3.1;176;148;24;4;;;;1025.6;611.5;414.1;0.287816844;0.2420278;0;
erigeron;E 3.3;238;168;65;4;1;;;1089.6;675.5;414.1;0.352331606;0.248704663;0;
erigeron;E 4.1;169;95;72;1;;1;Solidago canadensis;986.3;572.2;414.1;0.295351276;0.166025865;0.001747641;w fungal growth
erigeron;E 4.2;47;6;38;3;;;;715.1;301;414.1;0.156146179;0.019933555;0;
erigeron;E 4.3;189;143;45;1;;;;1307.3;893.2;414.1;0.211598746;0.160098522;0;
erigeron;E 5.1;18;4;10;3;1;;;897.1;483;414.1;0.037267081;0.008281573;0;
erigeron;E 5.2;166;114;51;;1;;;1162.1;748;414.1;0.221925134;0.152406417;0;
erigeron;E 5.3;142;45;87;7;3;;;1004.1;590;414.1;0.240677966;0.076271186;0;
erigeron;E 6.2;99;63;27;7;2;;;965.2;551.1;414.1;0.179640719;0.114316821;0;w fungal growth
erigeron;E 6.3;86;6;57;21;2;;;1141.6;727.5;414.1;0.118213058;0.008247423;0;
erigeron;E 7.1;174;114;57;2;1;;;1191.7;777.6;414.1;0.223765432;0.146604938;0;
