plot_name;treatment;natives;non_natives;number_focal_sp;cover_focal_sp;forbs;graminoids;legumes;bare_ground;non_focal_inv1;non_focal_inv2;background_management;site_type;year;species;site_name;datum;municipality;longitude;latitude;northing;easting;elevation;plotID
R1;removal;8;5;14;5;5;7;4;1;2;NA;no;roadside;2021;solidago;S 2.1;07.06.2021 00:00;Bonaduz;9.3866659;46.812534;2748571.582;1186297.261;668.2623901;S 2.1_R1
C1;control;8;6;11;6;7;4;4;0;0;NA;no;roadside;2021;solidago;S 2.1;07.06.2021 00:00;Bonaduz;9.3866659;46.812534;2748571.582;1186297.261;668.2623901;S 2.1_C1
R2;removal;7;6;39;6;5;4;5;4;0;NA;no;roadside;2021;solidago;S 2.1;07.06.2021 00:00;Bonaduz;9.3866659;46.812534;2748571.582;1186297.261;668.2623901;S 2.1_R2
C2;control;6;7;33;7;2;3;6;5;0;NA;no;roadside;2021;solidago;S 2.1;07.06.2021 00:00;Bonaduz;9.3866659;46.812534;2748571.582;1186297.261;668.2623901;S 2.1_C2
R1;removal;8;5;17;5;4;7;2;4;NA;NA;no;roadside_parking;2021;solidago;S 1.1;07.06.2021 00:00;Domat-Ems;9.419646;46.828199;2751043.621;1188100.971;616.9345093;S 1.1_R1
C1;control;7;6;24;6;5;6;3;4;NA;NA;no;roadside_parking;2021;solidago;S 1.1;07.06.2021 00:00;Domat-Ems;9.419646;46.828199;2751043.621;1188100.971;616.9345093;S 1.1_C1
R2;removal;8;4;8;4;6;7;0;3;NA;NA;no;roadside_parking;2021;solidago;S 1.1;07.06.2021 00:00;Domat-Ems;9.419646;46.828199;2751043.621;1188100.971;616.9345093;S 1.1_R2
C2;control;8;3;7;3;6;5;6;1;NA;NA;no;roadside_parking;2021;solidago;S 1.1;07.06.2021 00:00;Domat-Ems;9.419646;46.828199;2751043.621;1188100.971;616.9345093;S 1.1_C2
R1;removal;7;4;17;4;7;4;3;5;0;NA;no;roadside_parking;2021;solidago;S 2.2;08.06.2021 00:00;Tamins;9.4089299;46.828028;2750226.823;1188061.383;619.8226318;S 2.2_R1
C1;control;8;5;35;5;6;7;3;3;0;NA;no;roadside_parking;2021;solidago;S 2.2;08.06.2021 00:00;Tamins;9.4089299;46.828028;2750226.823;1188061.383;619.8226318;S 2.2_C1
