"","plot_name","treatment","natives","non_natives","number_focal_sp","cover_focal_sp","forbs","graminoids","legumes","bare_ground","non_focal_inv1","non_focal_inv2","background_management","site_type","year","species","site_name","datum","municipality","longitude","latitude","northing","easting","elevation","plotID","elevation_rescaled","natives_percentage","non_natives_percentage","cover_focal_sp_percentage","forbs_percentage","graminoids_percentage","legumes_percentage","bare_ground_percentage","non_focal_inv1_percentage","non_focal_inv2_percentage","natives_prop","non_natives_prop","cover_focal_sp_prop","forbs_prop","graminoids_prop","legumes_prop","bare_ground_prop","non_focal_inv1_prop","non_focal_inv2_prop","natives_prop_rescaled","non_natives_prop_rescaled","cover_focal_sp_prop_rescaled","forbs_prop_rescaled","graminoids_prop_rescaled","legumes_prop_rescaled","bare_ground_prop_rescaled","non_focal_inv1_prop_rescaled","non_focal_inv2_prop_rescaled"
"1","R1","removal",8,5,14,5,5,7,4,1,2,NA,"no","roadside",2021,"solidago","S 2.1","07.06.2021 00:00","Bonaduz",9.3866659,46.812534,2748571.582,1186297.261,668.2623901,"S 2.1_R1",0.0810488081050319,87.5,17.5,17.5,17.5,62.5,7.5,0.05,0.55,NA,0.875,0.175,0.175,0.175,0.625,0.075,5e-04,0.0055,NA,0.999,0.2006,0.2006,0.195549741230592,0.713857142857143,0.0865428571428571,0.00157028571428571,0.0156373333333333,NA
"2","C1","control",8,6,11,6,7,4,4,0,0,NA,"no","roadside",2021,"solidago","S 2.1","07.06.2021 00:00","Bonaduz",9.3866659,46.812534,2748571.582,1186297.261,668.2623901,"S 2.1_C1",0.0810488081050319,87.5,37.5,37.5,62.5,7.5,7.5,0,0,NA,0.875,0.375,0.375,0.625,0.075,0.075,0,0,NA,0.999,0.428714285714286,0.428714285714286,0.712053479010926,0.0865428571428571,0.0865428571428571,0.001,0.001,NA
"3","R2","removal",7,6,39,6,5,4,5,4,0,NA,"no","roadside",2021,"solidago","S 2.1","07.06.2021 00:00","Bonaduz",9.3866659,46.812534,2748571.582,1186297.261,668.2623901,"S 2.1_R2",0.0810488081050319,62.5,37.5,37.5,17.5,7.5,17.5,7.5,0,NA,0.625,0.375,0.375,0.175,0.075,0.175,0.075,0,NA,0.703733727810651,0.428714285714286,0.428714285714286,0.195549741230592,0.0865428571428571,0.2006,0.0865428571428571,0.001,NA
"4","C2","control",6,7,33,7,2,3,6,5,0,NA,"no","roadside",2021,"solidago","S 2.1","07.06.2021 00:00","Bonaduz",9.3866659,46.812534,2748571.582,1186297.261,668.2623901,"S 2.1_C2",0.0810488081050319,37.5,62.5,62.5,0.55,3,37.5,17.5,0,NA,0.375,0.625,0.625,0.0055,0.03,0.375,0.175,0,NA,0.408467455621302,0.713857142857143,0.713857142857143,0.001,0.0352171428571429,0.428714285714286,0.2006,0.001,NA
"5","R1","removal",8,5,17,5,4,7,2,4,NA,NA,"no","roadside_parking",2021,"solidago","S 1.1","07.06.2021 00:00","Domat-Ems",9.419646,46.828199,2751043.621,1188100.971,616.9345093,"S 1.1_R1",0.0494181108204902,87.5,17.5,17.5,7.5,62.5,0.55,7.5,NA,NA,0.875,0.175,0.175,0.075,0.625,0.0055,0.075,NA,NA,0.999,0.2006,0.2006,0.0807711328349626,0.713857142857143,0.00727314285714286,0.0865428571428571,NA,NA
"6","C1","control",7,6,24,6,5,6,3,4,NA,NA,"no","roadside_parking",2021,"solidago","S 1.1","07.06.2021 00:00","Domat-Ems",9.419646,46.828199,2751043.621,1188100.971,616.9345093,"S 1.1_C1",0.0494181108204902,62.5,37.5,37.5,17.5,37.5,3,7.5,NA,NA,0.625,0.375,0.375,0.175,0.375,0.03,0.075,NA,NA,0.703733727810651,0.428714285714286,0.428714285714286,0.195549741230592,0.428714285714286,0.0352171428571429,0.0865428571428571,NA,NA
"7","R2","removal",8,4,8,4,6,7,0,3,NA,NA,"no","roadside_parking",2021,"solidago","S 1.1","07.06.2021 00:00","Domat-Ems",9.419646,46.828199,2751043.621,1188100.971,616.9345093,"S 1.1_R2",0.0494181108204902,87.5,7.5,7.5,37.5,62.5,0,3,NA,NA,0.875,0.075,0.075,0.375,0.625,0,0.03,NA,NA,0.999,0.0865428571428571,0.0865428571428571,0.425106958021852,0.713857142857143,0.001,0.0352171428571429,NA,NA
"8","C2","control",8,3,7,3,6,5,6,1,NA,NA,"no","roadside_parking",2021,"solidago","S 1.1","07.06.2021 00:00","Domat-Ems",9.419646,46.828199,2751043.621,1188100.971,616.9345093,"S 1.1_C2",0.0494181108204902,87.5,3,3,37.5,17.5,37.5,0.05,NA,NA,0.875,0.03,0.03,0.375,0.175,0.375,5e-04,NA,NA,0.999,0.0352171428571429,0.0352171428571429,0.425106958021852,0.2006,0.428714285714286,0.00157028571428571,NA,NA
"9","R1","removal",7,4,17,4,7,4,3,5,0,NA,"no","roadside_parking",2021,"solidago","S 2.2","08.06.2021 00:00","Tamins",9.4089299,46.828028,2750226.823,1188061.383,619.8226318,"S 2.2_R1",0.051197910163349,62.5,7.5,7.5,62.5,7.5,3,17.5,0,NA,0.625,0.075,0.075,0.625,0.075,0.03,0.175,0,NA,0.703733727810651,0.0865428571428571,0.0865428571428571,0.712053479010926,0.0865428571428571,0.0352171428571429,0.2006,0.001,NA
"10","C1","control",8,5,35,5,6,7,3,3,0,NA,"no","roadside_parking",2021,"solidago","S 2.2","08.06.2021 00:00","Tamins",9.4089299,46.828028,2750226.823,1188061.383,619.8226318,"S 2.2_C1",0.051197910163349,87.5,17.5,17.5,37.5,62.5,3,3,0,NA,0.875,0.175,0.175,0.375,0.625,0.03,0.03,0,NA,0.999,0.2006,0.2006,0.425106958021852,0.713857142857143,0.0352171428571429,0.0352171428571429,0.001,NA
"11","R2","removal",8,4,24,4,7,6,3,3,0,NA,"no","roadside_parking",2021,"solidago","S 2.2","08.06.2021 00:00","Tamins",9.4089299,46.828028,2750226.823,1188061.383,619.8226318,"S 2.2_R2",0.051197910163349,87.5,7.5,7.5,62.5,37.5,3,3,0,NA,0.875,0.075,0.075,0.625,0.375,0.03,0.03,0,NA,0.999,0.0865428571428571,0.0865428571428571,0.712053479010926,0.428714285714286,0.0352171428571429,0.0352171428571429,0.001,NA
"12","C2","control",7,6,50,6,6,5,4,3,2,NA,"no","roadside_parking",2021,"solidago","S 2.2","08.06.2021 00:00","Tamins",9.4089299,46.828028,2750226.823,1188061.383,619.8226318,"S 2.2_C2",0.051197910163349,62.5,37.5,37.5,37.5,17.5,7.5,3,0.55,NA,0.625,0.375,0.375,0.375,0.175,0.075,0.03,0.0055,NA,0.703733727810651,0.428714285714286,0.428714285714286,0.425106958021852,0.2006,0.0865428571428571,0.0352171428571429,0.0156373333333333,NA
"13","R1","removal",8,3,5,3,3,6,6,4,0,0,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_R1",0.0317132086580974,87.5,3,3,3,37.5,37.5,7.5,0,0,0.875,0.03,0.03,0.03,0.375,0.375,0.075,0,0,0.999,0.0352171428571429,0.0352171428571429,0.0291207590569293,0.428714285714286,0.428714285714286,0.0865428571428571,0.001,0.001
"14","C1","control",8,5,16,5,7,6,5,3,0,0,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_C1",0.0317132086580974,87.5,17.5,17.5,62.5,37.5,17.5,3,0,0,0.875,0.175,0.175,0.625,0.375,0.175,0.03,0,0,0.999,0.2006,0.2006,0.712053479010926,0.428714285714286,0.2006,0.0352171428571429,0.001,0.001
"15","R2","removal",8,4,10,3,6,8,5,4,3,0,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_R2",0.0317132086580974,87.5,7.5,3,37.5,87.5,17.5,7.5,3,0,0.875,0.075,0.03,0.375,0.875,0.175,0.075,0.03,0,0.999,0.0865428571428571,0.0352171428571429,0.425106958021852,0.999,0.2006,0.0865428571428571,0.08084,0.001
"16","C2","control",7,7,65,7,5,5,6,3,0,2,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_C2",0.0317132086580974,62.5,62.5,62.5,17.5,17.5,37.5,3,0,0.55,0.625,0.625,0.625,0.175,0.175,0.375,0.03,0,0.0055,0.703733727810651,0.713857142857143,0.713857142857143,0.195549741230592,0.2006,0.428714285714286,0.0352171428571429,0.001,0.0323657142857143
"17","R3","removal",8,3,8,3,4,8,6,2,0,0,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_R3",0.0317132086580974,87.5,3,3,7.5,87.5,37.5,0.55,0,0,0.875,0.03,0.03,0.075,0.875,0.375,0.0055,0,0,0.999,0.0352171428571429,0.0352171428571429,0.0807711328349626,0.999,0.428714285714286,0.00727314285714286,0.001,0.001
"18","C3","control",8,3,8,3,6,6,7,2,0,2,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_C3",0.0317132086580974,87.5,3,3,37.5,37.5,62.5,0.55,0,0.55,0.875,0.03,0.03,0.375,0.375,0.625,0.0055,0,0.0055,0.999,0.0352171428571429,0.0352171428571429,0.425106958021852,0.428714285714286,0.713857142857143,0.00727314285714286,0.001,0.0323657142857143
"19","R4","removal",8,3,11,3,3,6,7,3,0,0,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_R4",0.0317132086580974,87.5,3,3,3,37.5,62.5,3,0,0,0.875,0.03,0.03,0.03,0.375,0.625,0.03,0,0,0.999,0.0352171428571429,0.0352171428571429,0.0291207590569293,0.428714285714286,0.713857142857143,0.0352171428571429,0.001,0.001
"20","C4","control",8,3,7,3,4,7,6,4,0,1,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_C4",0.0317132086580974,87.5,3,3,7.5,62.5,37.5,7.5,0,0.05,0.875,0.03,0.03,0.075,0.625,0.375,0.075,0,5e-04,0.999,0.0352171428571429,0.0352171428571429,0.0807711328349626,0.713857142857143,0.428714285714286,0.0865428571428571,0.001,0.00385142857142857
"21","R5","removal",8,4,14,4,6,7,3,4,2,0,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_R5",0.0317132086580974,87.5,7.5,7.5,37.5,62.5,3,7.5,0.55,0,0.875,0.075,0.075,0.375,0.625,0.03,0.075,0.0055,0,0.999,0.0865428571428571,0.0865428571428571,0.425106958021852,0.713857142857143,0.0352171428571429,0.0865428571428571,0.0156373333333333,0.001
"22","C5","control",8,3,6,2,5,7,6,4,3,0,"no","roadside",2021,"solidago","S 1.2","09.06.2021 00:00","Untervaz",9.5447747,46.921833,2760307.088,1198753.856,588.2043457,"S 1.2_C5",0.0317132086580974,87.5,3,0.55,17.5,62.5,37.5,7.5,3,0,0.875,0.03,0.0055,0.175,0.625,0.375,0.075,0.03,0,0.999,0.0352171428571429,0.00727314285714286,0.195549741230592,0.713857142857143,0.428714285714286,0.0865428571428571,0.08084,0.001
"23","R1","removal",8,3,6,3,5,6,7,1,0,NA,"no","roadside",2021,"solidago","S 2.3","09.06.2021 00:00","Cazis",9.4253584,46.747648,2751706.014,1179161.245,694.8962402,"S 2.3_R1",0.0974618615353415,87.5,3,3,17.5,37.5,62.5,0.05,0,NA,0.875,0.03,0.03,0.175,0.375,0.625,5e-04,0,NA,0.999,0.0352171428571429,0.0352171428571429,0.195549741230592,0.428714285714286,0.713857142857143,0.00157028571428571,0.001,NA
"24","C1","control",8,3,7,3,6,5,7,3,2,NA,"no","roadside",2021,"solidago","S 2.3","09.06.2021 00:00","Cazis",9.4253584,46.747648,2751706.014,1179161.245,694.8962402,"S 2.3_C1",0.0974618615353415,87.5,3,3,37.5,17.5,62.5,3,0.55,NA,0.875,0.03,0.03,0.375,0.175,0.625,0.03,0.0055,NA,0.999,0.0352171428571429,0.0352171428571429,0.425106958021852,0.2006,0.713857142857143,0.0352171428571429,0.0156373333333333,NA
"25","R2","removal",8,4,20,4,5,5,7,2,1,NA,"no","roadside",2021,"solidago","S 2.3","09.06.2021 00:00","Cazis",9.4253584,46.747648,2751706.014,1179161.245,694.8962402,"S 2.3_R2",0.0974618615353415,87.5,7.5,7.5,17.5,17.5,62.5,0.55,0.05,NA,0.875,0.075,0.075,0.175,0.175,0.625,0.0055,5e-04,NA,0.999,0.0865428571428571,0.0865428571428571,0.195549741230592,0.2006,0.713857142857143,0.00727314285714286,0.00233066666666667,NA
